trigger_id,triggered_at,month,source_connection_id,trigger_source,tap_type_id,object_id,object_name,object_path,entity_key,classified_domain,blast_radius,dependent_count,outcome
TRG000001,2026-02-08T15:05:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0034,fct_writeoffs,models/marts/rcm/fct_writeoffs.sql,Aetna|CO-16,rcm.denials,high,34,tap_generated
TRG000002,2026-02-03T09:22:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0029,fct_numerators,models/marts/rcm/fct_numerators.sql,UnitedHealthcare|CO-16,rcm.denials,low,4,tap_generated
TRG000003,2026-02-12T13:00:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0052,fct_patients,models/marts/rcm/fct_patients.sql,BCBS Michigan|CO-16,rcm.denials,medium,11,tap_generated
TRG000004,2026-02-22T11:13:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0040,fct_discharges,models/marts/rcm/fct_discharges.sql,Cigna|CO-16,rcm.denials,low,8,tap_generated
TRG000005,2026-02-19T08:25:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0038,fct_eligibility,models/marts/rcm/fct_eligibility.sql,BCBS Michigan|CO-16,rcm.denials,low,3,suppressed_dedupe
TRG000006,2026-02-02T14:53:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0050,fct_census,models/marts/rcm/fct_census.sql,Humana|CO-16,rcm.denials,low,3,tap_generated
TRG000007,2026-02-04T14:22:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0042,fct_exclusions,models/marts/rcm/fct_exclusions.sql,Medicare Part A|CO-16,rcm.denials,low,8,tap_generated
TRG000008,2026-02-10T12:39:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0052,fct_patients,models/marts/rcm/fct_patients.sql,Medicaid MI|CO-16,rcm.denials,medium,11,tap_generated
TRG000009,2026-02-05T09:55:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0034,fct_writeoffs,models/marts/rcm/fct_writeoffs.sql,BCBS Michigan|CO-16,rcm.denials,high,34,suppressed_dedupe
TRG000010,2026-02-26T10:48:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0049,fct_coverage,models/marts/rcm/fct_coverage.sql,Priority Health|CO-16,rcm.denials,high,34,tap_generated
TRG000011,2026-02-10T18:39:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0036,fct_diagnoses,models/marts/rcm/fct_diagnoses.sql,Molina|CO-16,rcm.denials,low,0,tap_generated
TRG000012,2026-02-14T11:29:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0048,fct_denials,models/marts/rcm/fct_denials.sql,Tricare|CO-16,rcm.denials,low,3,tap_generated
TRG000013,2026-02-27T17:07:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0044,fct_appointments,models/marts/rcm/fct_appointments.sql,Aetna|CO-97,rcm.denials,low,0,tap_generated
TRG000014,2026-02-01T12:25:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0047,fct_aging,models/marts/rcm/fct_aging.sql,UnitedHealthcare|CO-97,rcm.denials,high,34,tap_generated
TRG000015,2026-02-08T10:07:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0031,fct_adjustments,models/marts/rcm/fct_adjustments.sql,Aetna|CO-16,rcm.denials,low,2,suppressed_dedupe
TRG000016,2026-02-26T17:22:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0043,fct_encounters,models/marts/rcm/fct_encounters.sql,BCBS Michigan|CO-97,rcm.denials,medium,11,tap_generated
TRG000017,2026-02-16T14:11:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0051,fct_balances,models/marts/rcm/fct_balances.sql,Cigna|CO-97,rcm.denials,low,4,tap_generated
TRG000018,2026-02-28T15:11:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0051,fct_balances,models/marts/rcm/fct_balances.sql,Humana|CO-97,rcm.denials,low,4,tap_generated
TRG000019,2026-02-04T12:41:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0038,fct_eligibility,models/marts/rcm/fct_eligibility.sql,Medicare Part A|CO-97,rcm.denials,low,3,tap_generated
TRG000020,2026-02-15T16:10:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0045,fct_authorizations,models/marts/rcm/fct_authorizations.sql,Cigna|CO-97,rcm.denials,low,8,suppressed_dedupe
TRG000021,2026-02-06T10:31:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0034,fct_writeoffs,models/marts/rcm/fct_writeoffs.sql,Medicaid MI|CO-97,rcm.denials,high,34,tap_generated
TRG000022,2026-02-08T10:26:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0052,fct_patients,models/marts/rcm/fct_patients.sql,BCBS Michigan|CO-16,rcm.denials,medium,11,suppressed_dedupe
TRG000023,2026-02-17T10:28:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0046,fct_measures,models/marts/rcm/fct_measures.sql,Priority Health|CO-97,rcm.denials,low,3,tap_generated
TRG000024,2026-02-22T09:15:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0034,fct_writeoffs,models/marts/rcm/fct_writeoffs.sql,Medicare Part A|CO-16,rcm.denials,high,34,suppressed_dedupe
TRG000025,2026-02-13T14:22:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0048,fct_denials,models/marts/rcm/fct_denials.sql,Molina|CO-97,rcm.denials,low,3,tap_generated
TRG000026,2026-02-18T18:48:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0030,fct_claims,models/marts/rcm/fct_claims.sql,Tricare|CO-97,rcm.denials,low,3,tap_generated
TRG000027,2026-02-05T09:14:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0045,fct_authorizations,models/marts/rcm/fct_authorizations.sql,Aetna|CO-45,rcm.denials,low,8,tap_generated
TRG000028,2026-02-07T15:04:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0039,fct_providers,models/marts/rcm/fct_providers.sql,UnitedHealthcare|CO-45,rcm.denials,low,1,tap_generated
TRG000029,2026-02-06T14:47:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0030,fct_claims,models/marts/rcm/fct_claims.sql,BCBS Michigan|CO-45,rcm.denials,low,3,tap_generated
TRG000030,2026-02-25T17:46:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0049,fct_coverage,models/marts/rcm/fct_coverage.sql,Medicaid MI|CO-16,rcm.denials,high,34,suppressed_dedupe
TRG000031,2026-02-19T13:36:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0051,fct_balances,models/marts/rcm/fct_balances.sql,BCBS Michigan|CO-16,rcm.denials,low,4,suppressed_dedupe
TRG000032,2026-02-09T18:07:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0043,fct_encounters,models/marts/rcm/fct_encounters.sql,Cigna|CO-45,rcm.denials,medium,11,tap_generated
TRG000033,2026-02-05T12:39:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0050,fct_census,models/marts/rcm/fct_census.sql,Humana|CO-45,rcm.denials,low,3,tap_generated
TRG000034,2026-02-11T13:38:00,2026-02,SRC001,anomaly,denial_reason_classification,OBJ0041,fct_service_lines,models/marts/rcm/fct_service_lines.sql,Medicare Part A|CO-45,rcm.denials,medium,19,tap_generated
